epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,43.9277,2.02479,4.0372,1.82401,0.00336,0.25,0.01784,0.00324,2.49941,3.76193,2.26686,0.00165387,0.000551291,0.00165387,0.000551291,0.00165387,0.000551291,0.00165387,0.000551291
2,86.5882,1.92774,4.00769,1.70151,0.00464,0.34722,0.02009,0.0057,2.30679,3.71583,2.15263,0.00325512,0.00108504,0.00325512,0.00108504,0.00325512,0.00108504,0.00325512,0.00108504
3,126.921,1.78937,4.10268,1.54873,0.00465,0.34722,0.01824,0.00525,2.13772,3.57567,1.90707,0.00479035,0.00159678,0.00479035,0.00159678,0.00479035,0.00159678,0.00479035,0.00159678
4,156.931,1.79485,3.77642,1.55446,0.00598,0.44444,0.0164,0.00687,2.04585,3.40248,1.76559,0.00470394,0.00156798,0.00470394,0.00156798,0.00470394,0.00156798,0.00470394,0.00156798
5,186.266,1.64863,3.58315,1.47241,0.00795,0.59722,0.05366,0.02529,1.96536,3.19708,1.79042,0.00460492,0.00153497,0.00460492,0.00153497,0.00460492,0.00153497,0.00460492,0.00153497
6,216.348,1.74039,3.44335,1.4824,0.01007,0.72222,0.10967,0.04772,1.93971,3.00054,1.69827,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197
7,246.049,1.6534,3.26196,1.45607,0.44496,0.18056,0.27893,0.11071,1.86211,2.75262,1.63944,0.00440688,0.00146896,0.00440688,0.00146896,0.00440688,0.00146896,0.00440688,0.00146896
8,275.796,1.7432,3.15825,1.46405,0.7471,0.16328,0.40433,0.1779,1.90365,2.50765,1.64796,0.00430786,0.00143595,0.00430786,0.00143595,0.00430786,0.00143595,0.00430786,0.00143595
9,305.858,1.6488,2.84062,1.45295,0.78016,0.37666,0.51207,0.201,1.89529,2.31693,1.67413,0.00420884,0.00140295,0.00420884,0.00140295,0.00420884,0.00140295,0.00420884,0.00140295
10,335.804,1.74197,2.79866,1.4594,0.69482,0.41667,0.50383,0.18466,1.91139,2.2142,1.70754,0.00410982,0.00136994,0.00410982,0.00136994,0.00410982,0.00136994,0.00410982,0.00136994
11,367.873,1.68652,2.62406,1.44518,0.64559,0.49521,0.5683,0.23211,1.93761,2.05099,1.73328,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693
12,403.744,1.63512,2.54222,1.40115,0.64679,0.51389,0.57222,0.22044,1.92791,1.92462,1.70444,0.00391178,0.00130393,0.00391178,0.00130393,0.00391178,0.00130393,0.00391178,0.00130393
13,437.998,1.67472,2.44197,1.36735,0.75557,0.47222,0.62853,0.24363,1.88668,1.76471,1.63685,0.00381276,0.00127092,0.00381276,0.00127092,0.00381276,0.00127092,0.00381276,0.00127092
14,478.21,1.69075,2.19627,1.40037,0.61353,0.56944,0.63461,0.26107,1.82253,1.68026,1.62218,0.00371374,0.00123791,0.00371374,0.00123791,0.00371374,0.00123791,0.00371374,0.00123791
15,511.944,1.72438,2.32005,1.40626,0.69135,0.70547,0.71182,0.28317,1.82396,1.64646,1.61476,0.00361472,0.00120491,0.00361472,0.00120491,0.00361472,0.00120491,0.00361472,0.00120491
16,544.629,1.67884,2.24612,1.34903,0.79508,0.7361,0.78022,0.32332,1.81733,1.58892,1.63948,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719
17,577.717,1.54761,2.32426,1.32988,0.61601,0.75472,0.75847,0.31905,1.77961,1.54729,1.60754,0.00341668,0.00113889,0.00341668,0.00113889,0.00341668,0.00113889,0.00341668,0.00113889
18,611.508,1.63617,2.44425,1.38909,0.83322,0.75433,0.78425,0.34331,1.78356,1.55628,1.61253,0.00331766,0.00110589,0.00331766,0.00110589,0.00331766,0.00110589,0.00331766,0.00110589
19,644.205,1.63666,2.42947,1.33558,0.91186,0.71115,0.8669,0.3466,1.75961,1.56443,1.63457,0.00321864,0.00107288,0.00321864,0.00107288,0.00321864,0.00107288,0.00321864,0.00107288
20,679.742,1.63964,2.24122,1.36245,0.88347,0.85591,0.86041,0.3554,1.73379,1.54229,1.6336,0.00311962,0.00103987,0.00311962,0.00103987,0.00311962,0.00103987,0.00311962,0.00103987
21,713.826,1.54633,2.38236,1.29942,0.86536,0.80318,0.83612,0.34901,1.71131,1.55762,1.61249,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687
22,747.245,1.61542,2.31851,1.33122,0.805,0.84961,0.78792,0.36208,1.69914,1.52292,1.61122,0.00292158,0.000973861,0.00292158,0.000973861,0.00292158,0.000973861,0.00292158,0.000973861
23,781.595,1.59318,2.04383,1.30093,0.86292,0.82934,0.80982,0.37443,1.73903,1.46021,1.61635,0.00282256,0.000940855,0.00282256,0.000940855,0.00282256,0.000940855,0.00282256,0.000940855
24,817.356,1.60866,2.17223,1.3119,0.89788,0.88327,0.82805,0.38294,1.72406,1.43047,1.61554,0.00272354,0.000907848,0.00272354,0.000907848,0.00272354,0.000907848,0.00272354,0.000907848
25,853.395,1.57073,1.95932,1.30205,0.8209,0.90278,0.80341,0.38001,1.72756,1.39702,1.58719,0.00262452,0.000874842,0.00262452,0.000874842,0.00262452,0.000874842,0.00262452,0.000874842
26,889.323,1.57185,2.20385,1.294,0.79814,0.89035,0.84633,0.42145,1.72346,1.3492,1.59159,0.0025255,0.000841835,0.0025255,0.000841835,0.0025255,0.000841835,0.0025255,0.000841835
27,923.914,1.54934,2.27925,1.30247,0.81886,0.88556,0.81439,0.40486,1.72385,1.334,1.56755,0.00242649,0.000808828,0.00242649,0.000808828,0.00242649,0.000808828,0.00242649,0.000808828
28,958.675,1.52869,2.08828,1.29615,0.80464,0.88996,0.83785,0.39362,1.73665,1.32994,1.56718,0.00232747,0.000775822,0.00232747,0.000775822,0.00232747,0.000775822,0.00232747,0.000775822
29,993.943,1.50415,2.38247,1.26342,0.88725,0.8821,0.87123,0.42166,1.70431,1.33918,1.50106,0.00222845,0.000742815,0.00222845,0.000742815,0.00222845,0.000742815,0.00222845,0.000742815
30,1029.98,1.42546,2.29723,1.22658,0.88317,0.87931,0.87241,0.43447,1.72736,1.32482,1.5149,0.00212943,0.000709809,0.00212943,0.000709809,0.00212943,0.000709809,0.00212943,0.000709809
31,1064.73,1.51753,2.33274,1.29063,0.84462,0.86111,0.86094,0.41268,1.68539,1.31793,1.49903,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802
